Date,Scaled_Return,Conditional_Volatility
2016-06-23,-0.3818353,0.2061148080588267
2016-06-24,1.0143786,0.22808006522447277
2016-06-27,-0.0633698,0.30763835947971585
2016-06-28,-0.18535859999999998,0.2919186253101984
2016-06-29,-0.3624027,0.2881063694352707
2016-06-30,-0.37624759999999996,0.3007761882372867
2016-07-01,0.4400585,0.3136157933067408
2016-07-03,-0.3378919,0.32765241022166014
2016-07-04,-0.09997829999999999,0.33455433427391
2016-07-06,-0.3025345,0.3197412335206484
2016-07-09,-0.1973948,0.3241013076088409
2016-07-10,0.20962730000000002,0.31865305859598764
2016-07-11,0.1343286,0.3129903185860255
2016-07-12,-0.0782513,0.3017537980398034
2016-07-13,-0.16310529999999998,0.2877894267697055
2016-07-14,-0.2951421,0.282351685795545
2016-07-15,-0.0109698,0.289271720154815
2016-07-18,0.21887130000000002,0.270610227357736
2016-07-19,0.0872406,0.2697201875133986
2016-07-20,0.3634285,0.25829022583163425
2016-07-21,0.3282583,0.27063609215986645
2016-07-22,0.2192466,0.2788922231381116
2016-07-25,0.1118698,0.27734403666424196
2016-07-26,-0.0585626,0.2672489693342058
2016-07-27,0.0053300000000000005,0.2543995663503885
2016-07-28,-0.2403702,0.23779783353408335
2016-07-29,-0.00536,0.243465431749903
2016-08-01,-0.4301204,0.22799103128203652
2016-08-03,0.0794296,0.25269561560568665
2016-08-04,0.3323698,0.24201471195461957
2016-08-06,-0.1547337,0.2530967760381698
2016-08-07,0.4535754,0.24976728292352632
2016-08-08,0.053742700000000004,0.27080824281404814
2016-08-09,-0.0213938,0.25665732804564456
2016-08-11,-0.0361246,0.2414920116198114
2016-08-12,-0.0685857,0.2287779175028567
2016-08-15,0.1189552,0.21984893986666396
2016-08-16,-0.2816938,0.2149291331582808
2016-08-17,0.048885599999999994,0.22638982746360947
2016-08-18,-0.0597566,0.2153810291115779
2016-08-19,0.1790236,0.20673780680837844
2016-08-22,0.24832320000000002,0.2077712327136263
2016-08-23,-0.0484734,0.2145463032774779
2016-08-24,0.06999970000000001,0.20499657157208048
2016-08-25,-0.037678199999999995,0.19731713810857118
2016-08-26,-0.129431,0.1881680603628898
2016-08-29,0.1778683,0.18776837661660326
2016-08-30,0.1342654,0.19021823794063586
2016-09-03,0.3267765,0.18886696417392188
2016-09-05,-0.0975943,0.2040844501798591
2016-09-06,-0.2896022,0.19961597118842397
2016-09-08,-0.1129365,0.21315176772863323
2016-09-09,0.037432299999999995,0.20932430393913068
2016-09-11,0.1443183,0.1987420045599401
2016-09-12,-0.0441481,0.19754733838013733
2016-09-13,0.4413978,0.18893609705312278
2016-09-14,0.2795274,0.21462741761536214
2016-09-15,-0.0210338,0.22349967777962337
2016-09-19,0.0315468,0.2109124004673503
2016-09-20,0.131199,0.1997471366544641
2016-09-21,0.0680671,0.19740063744663522
2016-09-22,-0.3730579,0.19015274538265034
2016-09-23,0.058007899999999994,0.2127416239059349
2016-09-26,0.1315487,0.20351331031933317
2016-09-27,-0.1526335,0.20090003479451463
2016-09-28,0.23137190000000002,0.20158346874027208
2016-09-29,-0.2788502,0.20742669871908032
2016-09-30,0.3312632,0.21926168872703988
2016-10-02,0.2249829,0.2322209470820249
2016-10-03,-0.1683518,0.2350105293230418
2016-10-05,0.6304777,0.23436565037745613
2016-10-06,0.3750407,0.2733466454398028
2016-10-08,-0.3894559,0.2853705774842409
2016-10-10,-0.06278199999999999,0.30083634876726156
2016-10-11,0.3229732,0.28562386007536067
2016-10-13,0.25878670000000004,0.2921389132784525
